BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,has_second_use,share_primary_gfa,share_second_gfa,parking_share,is_multi_building,has_electricity,has_gas,has_steam
NonResidential,Small- and Mid-Sized Office,98103,4,LAKE UNION,47.64779,-122.33352,1993,1,1,0,26263,Office,26263.0,None,0.0,0,1.0,0.0,0.0,0,1,0,0
NonResidential,Hotel,98103,4,LAKE UNION,47.65476,-122.34732,2014,1,4,41539,85284,Hotel,88157.0,Parking,41539.0,1,1.033687444303738,0.4870667417100511,0.3275352262602209,0,1,1,0
NonResidential,Hotel,98104,7,DOWNTOWN,47.60699,-122.33346,1928,1,9,0,65009,Hotel,65009.0,None,0.0,0,1.0,0.0,0.0,0,1,1,1
NonResidential,Other,98104,7,DOWNTOWN,47.60546,-122.33279,1930,1,6,0,103911,Fitness Center/Health Club/Gym,90000.0,Office,40000.0,1,0.8661258192106707,0.38494480853807583,0.0,0,1,1,1
NonResidential,Mixed Use Property,98104,7,DOWNTOWN,47.60515,-122.33159,1907,1,5,0,57452,Social/Meeting Hall,16442.0,Restaurant,15505.0,1,0.28618672979182624,0.26987746292557263,0.0,0,1,1,1
NonResidential,Hotel,98104,7,DOWNTOWN,47.60376,-122.33194,1916,1,10,0,104352,Hotel,104352.0,None,0.0,0,1.0,0.0,0.0,0,1,1,1
NonResidential,Hotel,98104,3,EAST,47.60898,-122.32693,1908,1,7,0,76631,Hotel,76631.0,None,0.0,0,1.0,0.0,0.0,0,1,1,0
NonResidential,Hotel,98104,7,DOWNTOWN,47.6048,-122.3368,1904,1,5,0,190980,Hotel,190980.0,Parking,19051.0,1,1.0,0.09975390093203476,0.0,0,1,1,0
Nonresidential COS,Other,98104,2,DOWNTOWN,47.60112,-122.32785,2006,1,4,0,61156,Other,42755.0,Office,29219.0,1,0.6991137419059454,0.47777814114723005,0.0,0,1,1,0
NonResidential,Other,98104,2,DOWNTOWN,47.59809,-122.32283,1910,1,4,13820,59000,Museum,58000.0,None,0.0,0,0.9830508474576272,0.0,0.1897830266410327,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98104,7,DOWNTOWN,47.60105,-122.33518,1900,1,3,0,44558,Office,34416.0,Self-Storage Facility,7672.0,1,0.7723865523587234,0.17218007989586606,0.0,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98104,7,DOWNTOWN,47.60271,-122.33557,1914,1,4,0,56500,Office,33000.0,Retail Store,7000.0,1,0.584070796460177,0.12389380530973451,0.0,0,1,0,1
NonResidential,Small- and Mid-Sized Office,98104,7,DOWNTOWN,47.60266,-122.33332,1900,1,7,0,89550,Office,64712.0,Retail Store,10058.0,1,0.7226353992183138,0.11231714126186489,0.0,0,1,0,1
NonResidential,Small- and Mid-Sized Office,98104,7,DOWNTOWN,47.60219,-122.33347,1900,1,6,0,89355,Office,82355.0,Retail Store,7000.0,1,0.9216607912260086,0.07833920877399138,0.0,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98104,7,DOWNTOWN,47.60542,-122.33588,1950,1,6,1392,89699,Office,89699.0,Parking,1392.0,1,1.0,0.015518567654042966,0.015281421874828468,0,1,0,1
NonResidential,Large Office,98104,7,DOWNTOWN,47.60471,-122.33261,1907,1,8,0,201480,Office,161762.0,Retail Store,29094.0,1,0.8028687710939051,0.14440142942227516,0.0,0,1,0,1
Nonresidential COS,Large Office,98104,7,DOWNTOWN,47.60377,-122.32971,2003,1,8,30660,168870,Office,160418.0,Parking,18590.0,1,0.9499496654231065,0.1100846805234796,0.1536611035934446,0,1,1,0
NonResidential,Large Office,98104,7,DOWNTOWN,47.60193,-122.32812,1909,1,7,8296,106099,Office,96582.0,None,0.0,0,0.9103007568403095,0.0,0.07252065212640413,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98104,7,DOWNTOWN,47.60227,-122.33202,1900,1,5,0,50176,Office,50328.0,Other,8329.0,1,1.0030293367346939,0.16599569515306123,0.0,0,1,1,0
NonResidential,Warehouse,98104,2,GREATER DUWAMISH,47.56064,-122.32522,2001,1,1,0,123061,Non-Refrigerated Warehouse,123061.0,None,0.0,0,1.0,0.0,0.0,0,1,0,0
NonResidential,Large Office,98104,2,DOWNTOWN,47.59963,-122.32796,2002,1,10,38186,143508,Office,150840.0,Parking,26946.0,1,1.0510912283635756,0.187766535663517,0.21016654374938082,0,1,0,0
NonResidential,Small- and Mid-Sized Office,98104,2,DOWNTOWN,47.59895,-122.33379,1904,1,5,0,78920,Office,78564.0,None,0.0,0,0.9954891028890015,0.0,0.0,0,1,0,0
NonResidential,Small- and Mid-Sized Office,98104,2,DOWNTOWN,47.59855,-122.33327,1906,1,7,0,99440,Office,65088.0,Retail Store,23857.0,1,0.6545454545454545,0.23991351568785196,0.0,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98104,2,DOWNTOWN,47.59856,-122.33379,1907,1,6,0,73260,Office,63871.0,None,0.0,0,0.8718400218400219,0.0,0.0,0,1,0,0
NonResidential,Small- and Mid-Sized Office,98104,7,DOWNTOWN,47.59979,-122.3338,1900,1,4,0,69817,Office,34647.0,Retail Store,26039.0,1,0.49625449389117265,0.3729607402208631,0.0,0,1,1,1
NonResidential,Small- and Mid-Sized Office,98104,7,DOWNTOWN,47.60035,-122.33379,1900,1,4,0,84750,Office,41609.0,Enclosed Mall,28734.0,1,0.49096165191740415,0.3390442477876106,0.0,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98104,7,DOWNTOWN,47.60146,-122.33248,1900,1,6,13320,62176,Office,45799.0,Retail Store,9739.0,1,0.7366025476067937,0.15663600102933609,0.17643318851329873,0,1,0,0
NonResidential,Large Office,98104,7,DOWNTOWN,47.59962,-122.33247,1900,1,4,0,164380,Office,123607.0,Retail Store,20795.0,1,0.7519588757756418,0.1265056576225818,0.0,0,1,1,1
NonResidential,Large Office,98104,2,DOWNTOWN,47.59858,-122.33198,1907,1,7,0,160580,Office,160580.0,None,0.0,0,1.0,0.0,0.0,0,1,1,1
NonResidential,Small- and Mid-Sized Office,98104,7,DOWNTOWN,47.60159,-122.32915,1909,1,6,0,73470,Office,47145.0,Non-Refrigerated Warehouse,9477.0,1,0.6416904859126173,0.12899142507145775,0.0,0,1,0,0
Nonresidential COS,Other,98104,2,DOWNTOWN,47.59871,-122.3299,1906,1,3,0,67755,Other,33647.0,Office,19705.0,1,0.49659803704523653,0.29082724522175485,0.0,0,1,0,0
NonResidential,Small- and Mid-Sized Office,98104,2,DOWNTOWN,47.59701,-122.33378,1904,1,4,0,66842,Office,43122.0,Retail Store,10514.0,1,0.6451332994225187,0.1572963107028515,0.0,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98104,2,DOWNTOWN,47.59639,-122.33368,1909,1,6,10800,64488,Office,65508.0,Parking,10918.0,1,1.0158168961667287,0.16930281602778813,0.14344915524386356,0,1,1,0
NonResidential,Large Office,98104,2,DOWNTOWN,47.59806,-122.33475,1904,1,7,0,184322,Office,183916.0,Data Center,406.0,1,0.9977973329282451,0.002202667071754864,0.0,0,1,0,0
NonResidential,Large Office,98104,2,DOWNTOWN,47.59767,-122.33467,2009,1,7,0,287853,Office,273812.0,Retail Store,12102.0,1,0.9512216304850045,0.042042292420089424,0.0,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98104,2,GREATER DUWAMISH,47.58252,-122.33465,1930,1,3,0,60592,Office,60384.0,None,0.0,0,0.9965672035912332,0.0,0.0,0,1,1,0
NonResidential,Medical Office,98104,3,EAST,47.60979,-122.32298,2004,1,0,0,225982,Medical Office,200184.0,None,0.0,0,0.8858404651697923,0.0,0.0,0,1,0,1
NonResidential,Medical Office,98104,3,EAST,47.61002,-122.32222,1985,1,10,206580,215923,Medical Office,197408.0,None,0.0,0,0.9142518397762165,0.0,0.48894327377557084,0,1,0,1
NonResidential,Large Office,98104,7,DOWNTOWN,47.60353,-122.33558,1900,1,6,0,205521,Office,114919.0,Retail Store,28643.0,1,0.5591594046350494,0.1393677531736416,0.0,0,1,1,1
NonResidential,Small- and Mid-Sized Office,98104,7,DOWNTOWN,47.60197,-122.33437,1900,1,6,0,56700,Office,46000.0,Retail Store,10500.0,1,0.8112874779541446,0.18518518518518517,0.0,0,1,0,0
NonResidential,Large Office,98104,7,DOWNTOWN,47.6047,-122.33739,1905,1,6,0,167860,Office,110370.0,Retail Store,19801.0,1,0.6575122125580841,0.11796139640176337,0.0,0,1,0,0
NonResidential,Large Office,98104,7,DOWNTOWN,47.60247,-122.33621,1910,1,6,0,112560,Office,80400.0,Retail Store,16080.0,1,0.7142857142857143,0.14285714285714285,0.0,0,1,1,0
NonResidential,Retail Store,98104,7,DOWNTOWN,47.60223,-122.33602,1910,1,6,0,86204,Other,67670.0,Retail Store,13534.0,1,0.7849983759454318,0.15699967518908636,0.0,0,1,1,0
NonResidential,Large Office,98104,7,DOWNTOWN,47.60741,-122.33565,1921,1,2,0,189175,Office,151740.0,Other,12645.0,1,0.802114444297608,0.06684287035813401,0.0,0,1,0,0
NonResidential,Large Office,98104,7,DOWNTOWN,47.60582,-122.33464,1998,1,13,74481,219322,Office,145491.0,Parking,70603.0,1,0.6633671040752865,0.32191481018776047,0.2535066013621372,0,1,0,0
NonResidential,Small- and Mid-Sized Office,98104,7,DOWNTOWN,47.60366,-122.33328,1921,1,3,0,52298,Office,50250.0,None,0.0,0,0.9608398026693181,0.0,0.0,0,1,0,0
NonResidential,Medical Office,98104,3,EAST,47.60663,-122.32157,1988,1,5,99314,89025,Medical Office,81873.0,Parking,67000.0,1,0.9196630160067397,0.7525975849480483,0.5273151073330536,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98104,2,DOWNTOWN,47.5981,-122.33369,1910,1,6,13700,81300,Office,84481.0,Parking,8474.0,1,1.0391266912669126,0.10423124231242313,0.14421052631578948,0,1,1,0
NonResidential,Large Office,98104,7,DOWNTOWN,47.6029,-122.32927,1971,1,9,0,224857,Office,204993.0,None,0.0,0,0.911659410202929,0.0,0.0,0,1,0,1
NonResidential,Other,98104,2,GREATER DUWAMISH,47.59273,-122.33455,1939,1,2,0,58492,Other,58500.0,None,0.0,0,1.0001367708404567,0.0,0.0,0,1,1,0
NonResidential,Mixed Use Property,98104,7,DOWNTOWN,47.59937,-122.33116,1902,1,4,0,73320,Non-Refrigerated Warehouse,27283.0,Office,23277.0,1,0.3721085651936716,0.31747135842880525,0.0,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98104,2,DOWNTOWN,47.5992,-122.33223,1900,1,6,15840,79920,Office,95760.0,None,0.0,0,1.1981981981981982,0.0,0.16541353383458646,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98104,7,DOWNTOWN,47.6026,-122.33232,1929,1,2,0,20028,Office,20028.0,None,0.0,0,1.0,0.0,0.0,0,1,0,1
NonResidential,Small- and Mid-Sized Office,98104,7,DOWNTOWN,47.60247,-122.33372,1900,1,7,0,23622,Office,26195.0,Restaurant,2285.0,1,1.1089238845144358,0.09673186013038693,0.0,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98104,7,DOWNTOWN,47.60237,-122.33365,1902,1,3,0,23563,Office,20183.0,Restaurant,3380.0,1,0.8565547680685821,0.1434452319314179,0.0,0,1,0,0
NonResidential,Mixed Use Property,98104,7,DOWNTOWN,47.60284,-122.33407,1903,1,3,0,28600,Office,12000.0,Retail Store,11000.0,1,0.4195804195804196,0.38461538461538464,0.0,0,1,1,0
NonResidential,Mixed Use Property,98104,7,DOWNTOWN,47.60427,-122.33385,1978,1,2,12379,26160,Retail Store,15549.0,Parking,12379.0,1,0.5943807339449542,0.47320336391437307,0.3212070889229093,0,1,0,0
NonResidential,Small- and Mid-Sized Office,98104,7,DOWNTOWN,47.60427,-122.33385,1906,1,5,0,26840,Office,29040.0,None,0.0,0,1.0819672131147542,0.0,0.0,0,1,0,0
NonResidential,Retail Store,98104,7,DOWNTOWN,47.60427,-122.33385,1906,1,2,0,46800,Retail Store,36019.0,Office,10781.0,1,0.7696367521367521,0.23036324786324786,0.0,0,1,0,0
NonResidential,Small- and Mid-Sized Office,98104,7,DOWNTOWN,47.60431,-122.33335,1979,1,3,26640,37350,Office,39000.0,Parking,26640.0,1,1.0441767068273093,0.7132530120481928,0.41631504922644164,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98104,7,DOWNTOWN,47.60542,-122.3364,1900,1,5,0,39960,Office,37120.0,Other,2840.0,1,0.928928928928929,0.07107107107107107,0.0,0,1,1,0
NonResidential,Other,98104,7,DOWNTOWN,47.60547,-122.33118,1908,1,5,0,41536,Performing Arts,41536.0,None,0.0,0,1.0,0.0,0.0,0,1,0,0
NonResidential,Hotel,98104,7,DOWNTOWN,47.60223,-122.32889,1909,1,6,0,35820,Hotel,35820.0,None,0.0,0,1.0,0.0,0.0,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98104,4,LAKE UNION,47.64243,-122.32618,1957,1,2,0,21183,Office,13945.0,Parking,7238.0,1,0.6583109096917339,0.34168909030826605,0.0,0,1,0,0
NonResidential,Small- and Mid-Sized Office,98104,7,DOWNTOWN,47.59979,-122.33339,1902,1,4,0,27838,Office,27838.0,None,0.0,0,1.0,0.0,0.0,0,1,0,0
NonResidential,Other,98104,3,EAST,47.6097,-122.325,1912,1,3,0,20411,Social/Meeting Hall,20411.0,None,0.0,0,1.0,0.0,0.0,0,1,1,0
NonResidential,Worship Facility,98104,7,EAST,47.60821,-122.3296,1962,1,3,0,37796,Worship Facility,53000.0,Parking,17600.0,1,1.4022647899248597,0.46565774155995343,0.0,0,1,1,1
NonResidential,Small- and Mid-Sized Office,98104,4,LAKE UNION,47.63616,-122.32718,1964,1,5,9605,44860,Office,57972.0,Parking,0.0,0,1.2922871154703521,0.0,0.17635178555035344,0,1,1,0
NonResidential,Other,98104,3,EAST,47.61074,-122.32259,1981,1,1,0,20971,Parking,23483.0,Retail Store,10360.0,1,1.1197844642601689,0.49401554527681085,0.0,0,1,0,0
NonResidential,Small- and Mid-Sized Office,98104,3,EAST,47.60663,-122.32526,1970,1,7,20824,33548,Office,54372.0,Parking,15000.0,1,1.6207225467986168,0.4471205436985811,0.38299124549400426,0,1,0,0
NonResidential,Hotel,98104,3,EAST,47.60958,-122.32646,1928,1,6,0,35770,Hotel,35770.0,None,0.0,0,1.0,0.0,0.0,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98104,2,DOWNTOWN,47.59727,-122.32196,1989,1,2,0,23472,Office,20695.0,Other,1065.0,1,0.881688820722563,0.04537321063394683,0.0,0,1,1,0
NonResidential,Mixed Use Property,98104,7,DOWNTOWN,47.60195,-122.33516,1913,1,3,0,43878,Multifamily Housing,12000.0,Office,8262.0,1,0.2734855736359907,0.1882948174483796,0.0,0,1,0,0
NonResidential,Distribution Center,98104,2,GREATER DUWAMISH,47.58517,-122.32853,1966,1,1,0,28144,Distribution Center,22201.0,Office,6087.0,1,0.788835986355884,0.21628055713473565,0.0,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98104,2,DOWNTOWN,47.59657,-122.33394,1910,1,5,0,32250,Office,32250.0,None,0.0,0,1.0,0.0,0.0,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98104,2,DOWNTOWN,47.59639,-122.33368,1909,1,7,0,36000,Office,31500.0,None,0.0,0,0.875,0.0,0.0,0,1,0,0
NonResidential,Warehouse,98104,2,DOWNTOWN,47.59774,-122.31936,1930,1,1,0,23903,Non-Refrigerated Warehouse,18350.0,Worship Facility,4500.0,1,0.7676860645107308,0.18826088775467514,0.0,0,1,1,0
Campus,K-12 School,98104,3,EAST,47.60776,-122.32481,1923,1,4,0,46100,K-12 School,46100.0,Parking,0.0,0,1.0,0.0,0.0,0,1,1,1
